PART,ORDER,INDICATOR1,INDICATOR2,INDICATOR3,SERIES_NAME_SHORT,MULTIPLIER,DIGITS
Overview,1,OA.TPBS.POP.PPL.NO,,,"Population, total (mln)",,1
Overview,2,OA.TPR.POP.PPL.NO,,,"Population, rural (mln)",,1
Overview,3,NY.GDP.PCAP.PP.KD,,,GDP per capita (current US$),,0
Overview,4,SI.POV.DDAY,,,Poverty headcount ratio at $1.25 a day (PPP) (% pop),,1
Overview,5,SI.POV.NAHC,,,Poverty headcount ratio at national poverty lines (% pop),,1
Overview,6,SI.POV.RUHC,,, Rural poverty headcount ratio at national poverty lines (% rural pop),,1
Overview,7,SP.DYN.LE00.IN,,,"Life expectancy at birth, total (years)",,1
Overview,8,missing,,,Primary completion rate (% relevant age group),,0
Overview,9,SH.H2O.SAFE.ZS,,,Improved water source (% pop),,0
Overview,10,SH.STA.ACSN,,,Improved sanitation facilities (% pop),,0
Overview,11,FS.OA.POU.PCT3D1,,,Prevalence of undernourishment (%),,1
Overview,12,FS.OA.NOU.P3D1,,,Number of people undernourished (mln),,0
Macroeconomics,13,NV.AGR.TOTL.ZS,,,"Agriculture, value added (% of GDP)",,
Macroeconomics,14,TP.EXVAL.FOOD.USD.NO,,,Food exports (mln US$),1000000,0
Macroeconomics,15,TP.IMVAL.FOOD.USD.NO,,,Food imports (mln US$),1000000,0
Macroeconomics,24,missing,,,"Consumer prices, coffee",,2
Macroeconomics,25,PP_656_5532,,,"Producer prices, green coffee (US$ per tonne)",,2
Macroeconomics,26,PP_656_5539,,,Producer price index (2004-06=100),,0
"Exports, coffee",17,TP_656_5922,,,Green (1 000 US$),,0
"Exports, coffee",18,TP_657_5922,,,Roasted (1 000 US$),,0
"Exports, coffee",19,TP_659_5922,,,Extracts (1 000 US$),,0
"Imports, coffee",21,TP_656_5622,,,Green (1 000 US$),,0
"Imports, coffee",22,TP_657_5622,,,Roasted (1 000 US$),,0
"Imports, coffee",23,TP_659_5622,,,Extracts (1 000 US$),,0
Production and consumption,27,QV.NPV.FOOD.ID.NO,,,Food prod value (constant 2004-06 1000 l$),1000000,0
Production and consumption,28,QI.NPIN.FOOD.IN.NO,,,Food prod index (2004-2006=100),,1
Production and consumption,29,missing,,,"Area harvested, coffee (ha)",,0
Production and consumption,30,QC_656_5419,,,"Yield, coffee (hg/ha)",,0
Production and consumption,31,QC_656_5510,,,"Production quantity, coffee (mln tonnes)",1000,0
Production and consumption,32,FBS.PCS.PDES.KCD3D,,,Dietary energy supply (kcal/cap/day),,0
Production and consumption,33,missing,,,Vegetal (crop) products (kcal/cap/day),,0
Production and consumption,34,missing,,,Animal products (kcal/cap/day),,0
Environment,35,AQ.WAT.WWAGR.MC.SH,,,Renewable water res withdrawan (% total),,1
Environment,36,ER.LND.PTLD.ZS,,,Terrestrial protected areas (% total land area),,1
Environment,37,RL.AREA.AGRORG.HA.SH,,,Organic area (% total agricultural area),,1
Environment,38,AQ.WAT.WWAGR.MC.SH,,,Water withdrawal by agriculture (% total),,1
Environment,39,GHG.AFOLU.TOT.ECO2EQ.NO,,,"GHG emissions from ag (Co2 eq, gigagrams)",1000,0
Environment,40,missing,,,GHG emissions from coffee (% of total),,1
