PART,ORDER,INDICATOR1,INDICATOR2,INDICATOR3,SERIES_NAME_SHORT,MULTIPLIER,DIGITS
The setting,1,OA.TPBS.POP.PPL.NO,,,"Population, total (mln)",,1
The setting,2,OA.TPR.POP.PPL.NO,,,"Population, rural (% total population)",,1
The setting,3,IG.AFFH.STOCGG.USD.SH,,,Govt expenditure on ag (% total outlays),,1
The setting,4,area_harvested,,,Area harvested (mln ha),1000000,0
The setting,5,cropping_intensity_ratio,,,Cropping intensity ratio (%),,1
The setting,6,AQ.WAT.WATPCP.MC.NO,,,Water resources (m3/person/year),1000,0
The setting,7,AQ.WAT.EQIRR.HA.NO,,,Area equipped for irrigation (1000 ha),1000,0
The setting,8,AQ.WAT.SHIRR.HA.SH,,,Area irrigated (%),,1
The setting,9,SL.AGR.EMPL.ZS,,,Employment in agriculture (%),,1
The setting,10,SL.AGR.EMPL.FE.ZS,,,"Employment in agriculture, female (%)",,1
The setting,12,nitrogen_tonnes_per_ha,,,"Fertilizers, Nitrogen (nutrients per ha)",0.001,1
The setting,13,phosphate_tonnes_per_ha,,,"Fertilizers, Phosphate (nutrients per ha)",0.001,1
The setting,14,potash_tonnes_per_ha,,,"Fertilizers, Potash (nutrients per ha)",0.001,1
The setting,16,energy.for.power.irrigation,,,"Energy consump, power irrigation (mln kWh)",,0
The setting,17,EA.PRD.AGRI.KD,,,Agr value added per worker (constant US$),1000,1
Hunger dimensions,18,FBS.PCS.PDES.KCD3D,,,Dietary energy supply (kcal/pc/day),,0
Hunger dimensions,19,FS.DA.ADESA.PCT3D,,,Average dietary energy supply adequacy (%),,0
Hunger dimensions,20,FBS.PCSS.CSR.PCT3D,,,"Dietary en supp, cereals/roots/tubers (%)",,0
,21,,,,Number of undernourished (mln),1000000,0
Hunger dimensions,22,NY.GDP.PCAP.PP.KD,,,"GDP per capita (US$, PPP)",,0
,23,,,,Current account balance (% GDP),,1
Hunger dimensions,24,FS.DEA.DFPLIV.IND,,,Domestic food price volatility (index),,1
Hunger dimensions,25,FBS.IDR.CRLS.PCT3D,,,Cereal import dependency ratio (%),,1
Hunger dimensions,26,SH.STA.MALN.ZS,,,"Underweight, children under-5 (%)",,1
Hunger dimensions,27,SH.H2O.SAFE.ZS,,,Improved water source (% pop),,1
Food Supply,28,QV.NPV.FOOD.ID.NO,,,"Food production value, (2004-2006 mln I$)",1000000,0
Food Supply,29,NV.AGR.TOTL.ZS,,,"Agriculture, value added (% GDP)",,0
Food Supply,30,TP.EXVAL.FOOD.USD.NO,,,Food exports (mln US$) ,1000000,0
Food Supply,31,TP.IMVAL.FOOD.USD.NO,,,Food imports (mln US$) ,1000000,0
Production indices (2004-06=100),32,QI.NPIN.FOOD.IN.NO,,,Net food,,0
Production indices (2004-06=100),33,QI.NPIN.CRPS.IN.NO,,,Net crop,,0
Production indices (2004-06=100),34,QI.NPIN.CRLS.IN.NO,,,Cereal,,0
Production indices (2004-06=100),35,Oilcrops.Primary,,,Vegetable oils,,0
Production indices (2004-06=100),36,Roots.and.Tubers.Total,,,Roots and tubers,,0
Production indices (2004-06=100),37,Vegetables.and.Fruit.Primary,,,Fruit and vegetables,,0
Production indices (2004-06=100),38,Sugar.raw,,,Sugar,,0
Production indices (2004-06=100),39,QI.NPIN.LVSTCK.IN.NO,,,Livestock,,0
Production indices (2004-06=100),40,Milk.Total,,,Milk,,0
Production indices (2004-06=100),41,Meat.indigenous.total,,,Meat,,0
Production indices (2004-06=100),42,production_quantity_index,,,Fish ,,0
Net trade (min US\$),43,TP.NETVAL.CRLSPREP.USD.NO,,,Cereals,1000000,0
Net trade (min US\$),44,TP.NETVAL.FV.USD.NO,,,Fruit and vegetables,1000000,0
Net trade (min US\$),45,TP.NETVAL.MEATPREP.USD.NO,,,Meat,1000000,0
Net trade (min US\$),46,TP.NETVAL.MILKEQ.USD.NO,,,Dairy products,1000000,0
Net trade (min US\$),47,net_fish_trade,,,Fish,1000,0
Environment,48,RL.AREA.FOR.HA.SH,,,Forest area (%),,0
Environment,49,AQ.WAT.WWAGR.MC.SH,,,Renewable water res withdrawn (% of total),,0
Environment,50,ER.LND.PTLD.ZS,,,Terrestrial protect areas (% total land area) ,,0
Environment,51,RL.AREA.AGRORG.HA.SH,,,Organic area (% total agricultural area),,0
Environment,52,AQ.WAT.WWAGR.MC.SH,,,Water withdrawal by agriculture (% of total),,0
Environment,53,BP.TP.GP.TJ.NO,,,Biofuel production (thousand kt of oil eq.),1000,0
Environment,54,FO.WP.PQ.TN.NO,,,Wood pellet prod. (min tonnes),1000,0
Environment,55,GHG.AFOLU.TOT.ECO2EQ.NO,,,"GHG emissions from ag (Co2 eq, gigagrams)",1000,0
