PART,ORDER,INDICATOR1,INDICATOR2,INDICATOR3,SERIES_NAME_SHORT,MULTIPLIER,DIGITS
The setting,1,OA.TPBS.POP.PPL.NO,,,"Population, total (mln)",,0
The setting,2,rural_pop_share,,,"Population, rural (% total population)",,1
The setting,3,OA.TPBS.POP.PPL.GR10,,,"Population, growth (%)",,1
The setting,4,IG.AFFH.STOCGG.USD.SH,,,Govt expenditure on ag (% total outlays),,1
The setting,5,area_harvested,,,Area harvested (mln ha),1000000,0
The setting,6,AQ.WAT.WATPCP.MC.NO,,,Water resources (m3/person/year),1000,0
The setting,7,AQ.WAT.EQIRR.HA.NO,,,Area equipped for irrigation (1000 ha),1000,0
The setting,8,AQ.WAT.SHIRR.HA.SH,,,Area irrigated (%),,1
The setting,9,SL.AGR.EMPL.ZS,,,Employment in agriculture (%),,1
The setting,10,SL.AGR.EMPL.FE.ZS,,,"Employment in agriculture, female (%)",,1
The setting,11,nitrogen_tonnes_per_ha,,,"Fertilizers, Nitrogen (nutrients per ha)",0.001,0
The setting,12,phosphate_tonnes_per_ha,,,"Fertilizers, Phosphate (nutrients per ha)",0.001,0
The setting,13,potash_tonnes_per_ha,,,"Fertilizers, Potash (nutrients per ha)",0.001,0
The setting,14,EA.PRD.AGRI.KD,,,Agr value added per worker (constant US$),1000,1
Hunger dimensions,15,FBS.PCS.PDES.KCD3D,,,Dietary energy supply (kcal/pc/day),,0
Hunger dimensions,16,FS.DA.ADESA.PCT3D,,,Average dietary energy supply adequacy (%),,1
Hunger dimensions,17,FBS.PCSS.CSR.PCT3D,,,"Dietary en supp, cereals/roots/tubers (%)",,1
Hunger dimensions,18,FS.OA.POU.PCT3D1,,,Prevalence of undernourishment (%),,1
Hunger dimensions,19,SI.POV.DDAY,,,Poverty at 1.90 USD a day (% pop),,1
Hunger dimensions,20,NY.GDP.PCAP.PP.KD,,,"GDP per capita (US$, PPP)",,0
Hunger dimensions,21,NV.AGR.TOTL.ZS,,,"Agriculture, value added (% GDP)",,1
Hunger dimensions,22,FS.DEA.DFPLIV.IND,,,Domestic food price volatility (index),,1
Hunger dimensions,24,FBS.IDR.CRLS.PCT3D,,,Cereal import dependency ratio (%),,1
Hunger dimensions,25,SH.STA.MALN.ZS,,,"Underweight, children under-5 (%)",,1
Hunger dimensions,26,SH.H2O.SAFE.RU.ZS,,,"Improved water source, rural (% pop)",,1
Food Supply,42,agricultural_exports_share,,,Agricultural exports (% GDP),,1
Food Supply,43,TP.EXVAL.FOOD.USD.NO,,,Food exports (mln US$) ,1000000,0
Food Supply,44,TP.IMVAL.FOOD.USD.NO,,,Food imports (mln US$) ,1000000,0
Production quantities (1 000 tonnes),28,QC.PRD.CRLS.TN.NO,,,Cereals (thousand tonnes),1000,0
Production quantities (1 000 tonnes),29,QL.PRD.TOT.TN.NO,,,Meat (thousand tonnes),1000,0
Production quantities (1 000 tonnes),30,QC.PRD.RTTB.TN.NO,,,Roots and tubers (thousand tonnes),1000,0
Production quantities (1 000 tonnes),31,total_fish_production,,,Fish (thousand tonnes),,0
Production quantities (1 000 tonnes),32,QL.PRD.MILK.TN.NO,,,Milk (thousand tonnes),1000,0
Production quantities (1 000 tonnes),33,QC.YIELD.CRLS.HG.NO,,,Cereal yield (tonnes per ha),,0
Production indices (2004-06=100),34,QI.NPIN.FOOD.IN.NO,,,Net food,,0
Production indices (2004-06=100),35,QI.NPIN.CRLS.IN.NO,,,Cereal,,0
Production indices (2004-06=100),36,prod_ind_Roots.and.Tubers.Total,,,Roots and tubers,,0
Production indices (2004-06=100),37,prod_ind_Vegetables.and.Fruit.Primary,,,Fruits and vegetables,,0
Production indices (2004-06=100),38,QI.NPIN.LVSTCK.IN.NO,,,Livestock,,0
Production indices (2004-06=100),39,prod_ind_Milk.Total,,,Milk,,0
Production indices (2004-06=100),40,prod_ind_Meat.indigenous.total,,,Meat,,0
Production indices (2004-06=100),41,production_quantity_index,,,Fish ,,0
Environment,45,RL.AREA.FOR.HA.SH,,,Forest area (%),0.01,1
Environment,46,AQ.WAT.WWAGR.MC.SH,,,Renewable water res withdrawn (% of total),,1
Environment,47,ER.LND.PTLD.ZS,,,Terrestrial protect areas (% total land area) ,,1
Environment,48,AQ.WAT.WWAGR.MC.SH,,,Water withdrawal by agriculture (% of total),,1
Environment,49,BP.TP.GP.TJ.NO,,,Biofuel production (thousand kt of oil eq.),1000,0
Environment,50,FO.WP.PQ.TN.NO,,,Wood pellet prod. (min tonnes),1000,0
Environment,51,FO.PRD.RW.M3.NO,,,Roundwood production (mln m3),1000000,0
Environment,52,GHG.AFOLU.TOT.ECO2EQ.NO,,,"Net GHG emissions from AFOLU (CO2 eq, Mt)",1000,0
