PART,ORDER,INDICATOR1,INDICATOR2,INDICATOR3,SERIES_NAME_SHORT,MULTIPLIER,DIGITS,SERIES_NAME_SHORT_RU,PART_RU
The setting,1,tot_pop_male_female,NA,NA,"Population, total (M/F, mln)",NA,1,"????? ??????????? ????????? (?/?, ???)",????????
The setting,2,rural_pop_gender_shares,NA,NA,"Population, rural (M/F, % total population)",NA,1,"???????? ????????? (?/?, % ?? ????? ????. ???.)",????????
The setting,3,area_harvested,NA,NA,Area harvested (mln ha),1.00E+06,1,????????? ??????? (??? ??),????????
The setting,4,AQ.WAT.WATPCP.MC.NO,NA,NA,Renewable water resources (m3/person/year),1000,0,?????? ??????? (?3/???/???),????????
The setting,5,RL.WAT.EQIRR.HA.NO,NA,NA,Area equipped for irrigation (1000 ha),1000,0,"?????, ????????????? ??? ???????? (1000 ??)",????????
The setting,6,AQ.WAT.SHIRR.HA.SH,NA,NA,Area irrigated (%),NA,1,????????? ????? (%),????????
The setting,7,agr_employment_male_female,NA,NA,"Employment in agriculture (M/F, %)",NA,1,"????????? ? ???????? ????????? (?/?, %)",????????
The setting,8,RF.FERT.NI.TN.SH,NA,NA,"Fertilizers, Nitrogen (kg per ha)",0.001,1,"?????????, ???? (??/??)",????????
The setting,9,RF.FERT.PH.TN.SH,NA,NA,"Fertilizers, Phosphate (kg per ha)",0.001,1,"?????????, ?????? (??/??)",????????
The setting,10,RF.FERT.PO.TN.SH,NA,NA,"Fertilizers, Potash (kg per ha)",0.001,1,"?????????,  ????? (??/??)",????????
The setting,11,GN_6808_72182,NA,NA,"Energy consump, power irrigation (TJ)",1.00E+06,0,????. ?????. ??? ???????? ??????. ????. (???),????????
The setting,12,EA.PRD.AGRI.KD,NA,NA,Agr value added per worker (constant US$),NA,1,?????. ????????? ? ????. ???. ?? ?????? ????????? (? ????. ????. ???),????????
The setting,13,NY.GDP.PCAP.PP.KD,NA,NA,"GDP per capita (US$, PPP)",NA,0,"??? ?? ???? ????????? (? ????. ???, ?? ???)",????????
Hunger and dietary quality dimensions,14,FBS.PCS.PDES.KCD3D,NA,NA,Dietary energy supply (kcal/pc/day),NA,0,??????????? ??????? ??????? (????/???/????),??????? ?????? ? ??????? ???????
Hunger and dietary quality dimensions,15,FS.DA.ADESA.PCT3D,NA,NA,Average dietary energy supply adequacy (%),NA,1,???????????? ??. ???????. ???????? ???. ??????? (%),??????? ?????? ? ??????? ???????
Hunger and dietary quality dimensions,16,FBS.PCSS.CSR.PCT3D,NA,NA,"Dietary energy supp, cereals/roots/tubers (%)",NA,1,"???? ??????, ??????????? ? ???????????? ? ???????. ????. ???. ???. (%)",??????? ?????? ? ??????? ???????
Hunger and dietary quality dimensions,17,FBS.PPCS.AO.GCD3D,NA,NA,Avrg. protein supply of animal origin (g/cap/day),NA,0,??. ????? ?????????? ?????? ??????. ??????.(?/???/????,??????? ?????? ? ??????? ???????
Hunger and dietary quality dimensions,18,FS.OA.POU.PCT3D1,NA,NA,Prevalence of undernourishment (%),NA,1,?????????????????? ?????????? (%),??????? ?????? ? ??????? ???????
Hunger and dietary quality dimensions,19,FS.OA.FIES.PS.PCT3D,NA,NA,Prevalence of severe food insecurity (%),NA,0,Prevalence of severe food insecurity (%),??????? ?????? ? ??????? ???????
Hunger and dietary quality dimensions,20,SH.STA.STNT.ZS,NA,NA,"Stunting, children under 5 (%)",NA,1,"???? ?? 5 ???, ????????? ? ????? (%)",??????? ?????? ? ??????? ???????
Hunger and dietary quality dimensions,21,SH.STA.WAST.ZS,NA,NA,"Wasting, children under 5 (%)",NA,1,"???? ?? 5 ???, ?????????? ?? ????????? (%)",??????? ?????? ? ??????? ???????
Hunger and dietary quality dimensions,22,SH.STA.OWGH.ZS,NA,NA,"Overweight, children under 5 (%)",NA,1,???? ?? 5 ??? ? ??????????  ????? (%),??????? ?????? ? ??????? ???????
Hunger and dietary quality dimensions,23,overweight,NA,NA,"Overweight, adults (M/F, %)",NA,1,"???????? ? ?????????? ????? (?/?, %)",??????? ?????? ? ??????? ???????
