FAOST_CODE,Year,OA.POP.TOTL.P,OA.POP.TOTL.P3,OA.POP.TOTL.PC90,N.HER.MDER55.KCD,N.HER.MDER55C90.KCD,N.HER.XDER10.KCD,FS.IFC.CV.RN,FS.IFC.CVC90.RN,FS.IFC.SK.RN,FS.IFC.SKC90.RN,FBS.PCS.DES.KCD,FBS.PCS.LPDES.KCD,FBS.PCS.10LPDES.KCD,FBS.PCS.ESPDES.KCD,FBS.PCS.XDES.KCD,FBS.PCS.XLPDES.KCD,FBS.PCS.X10LPDES.KCD,FBS.PCS.XESPDES.KCD,FBS.PCS.PDES.KCD,FBS.PCS.PDES.KCD3,FBS.PCS.PDESCP90.KCD,FBS.PCS.DESCEB.KCD,FBS.PCS.DESCEB.PCT,FBS.PCS.DESSR.KCD,FBS.PCS.DESSR.PCT,FBS.PCS.DESSC.KCD,FBS.PCS.DESSC.PCT,FBS.PCS.DESSS.KCD,FBS.PCS.DESSS.PCT,FBS.PCS.DESP.KCD,FBS.PCS.DESP.PCT,FBS.PCS.DEST.KCD,FBS.PCS.DEST.PCT,FBS.PCS.DESOC.KCD,FBS.PCS.DESOC.PCT,FBS.PCS.DESVO.KCD,FBS.PCS.DESVO.PCT,FBS.PCS.DESV.KCD,FBS.PCS.DESV.PCT,FBS.PCS.DESFEW.KCD,FBS.PCS.DESFEW.PCT,FBS.PCS.DESS.KCD,FBS.PCS.DESS.PCT,FBS.PCS.DESSP.KCD,FBS.PCS.DESSP.PCT,FBS.PCS.DESAB.KCD,FBS.PCS.DESAB.PCT,FBS.PCS.DESMS.KCD,FBS.PCS.DESMS.PCT,FBS.PCS.DESM.KCD,FBS.PCS.DESM.PCT,FBS.PCS.DESO.KCD,FBS.PCS.DESO.PCT,FBS.PCS.DESAF.KCD,FBS.PCS.DESAF.PCT,FBS.PCS.DESMEB.KCD,FBS.PCS.DESMEB.PCT,FBS.PCS.DESE.KCD,FBS.PCS.DESE.PCT,FBS.PCS.DESFS.KCD,FBS.PCS.DESFS.PCT,FBS.PCS.DESAQP.KCD,FBS.PCS.DESAQP.PCT,FBS.PCS.FSQCEB.KCY,FBS.PCS.FSQSR.KCY,FBS.PCS.FSQSC.KCY,FBS.PCS.FSQSS.KCY,FBS.PCS.FSQP.KCY,FBS.PCS.FSQT.KCY,FBS.PCS.FSQOC.KCY,FBS.PCS.FSQVO.KCY,FBS.PCS.FSQV.KCY,FBS.PCS.FSQFEW.KCY,FBS.PCS.FSQS.KCY,FBS.PCS.FSQSP.KCY,FBS.PCS.FSQAB.KCY,FBS.PCS.FSQM.KCY,FBS.PCS.FSQO.KCY,FBS.PCS.FSQAF.KCY,FBS.PCS.FSQMEB.KCY,FBS.PCS.FSQE.KCY,FBS.PCS.FSQFS.KCY,FBS.PCS.FSQAQP.KCY,FBS.PCS.FL.KCD,FBS.PCS.DEC.KCD,FBS.PCS.DEC.KCD3,FBS.PCS.DECCP90.KCD,FBS.PCS.CDECCP90.KCD,FBS.PCS.CDEC.KCD,FBS.PCS.LPDEC.KCD,FBS.PCS.LPDEC.KCD3,FBS.PCS.10LPDEC.KCD,FBS.PCS.10LPDEC.KCD3,FBS.PCS.ESPDEC.KCD,FBS.PCS.ESPDEC.KCD3,FBS.PCS.XLPDEC.KCD,FBS.PCS.XLPDEC.KCD3,FBS.PCS.X10LPDEC.KCD,FBS.PCS.X10LPDEC.KCD3,FBS.PCS.XESPDEC.KCD,FBS.PCS.XESPDEC.KCD3,FS.OA.NOU.P,FS.OA.NOU.P3,FS.OA.POU.PCT,FS.OA.POU.PCT3,FS.OA.POUPI.PCT,FS.OA.POUMI.PCT,FS.OA.POUDI.PCT,FS.OA.POUII.PCT,FS.OA.POUC90.PCT,FS.OA.LPPOU.PCT,FS.OA.LPPOU.PCT3,FS.OA.10LPPOU.PCT,FS.OA.10LPPOU.PCT3,FS.OA.ESPPOU.PCT,FS.OA.ESPPOU.PCT3,FS.OA.XLPPOU.PCT,FS.OA.XLPPOU.PCT3,FS.OA.X10LPPOU.PCT,FS.OA.X10LPPOU.PCT3,FS.OA.XESPPOU.PCT,FS.OA.XESPPOU.PCT3,FS.OA.PCO.PCT,FS.OA.PCO.PCT3,FS.OA.NCO.P,FS.OA.NCO.P3,Area,FAO_TABLE_NAME,DTFS,DPOP,DMDER,DCVSK,DT,DAT,CTFS,CPOP,CMDER,CCVSK,ACTFS,ACPOP,ACMDER,ACCVSK,FS.OA.POU.PCT3D,FS.OA.POU.PCT3D1,FS.OA.POU.PCT3D2,FS.OA.NOU.P3D,FS.OA.NOU.P3D2,FS.OA.NOU.P3D1,FS.OA.PCO.PCT3D,FS.OA.NCO.P3D,FS.OA.POUCL.PCT3,MDGTarget,WFSTarget,POUTrafficLights,MDGreached,NOUTrafficLights,WFSreached,ChangePOU,ChangeNOU,FS.OA.POU.PCT3.14,FS.OA.NOU.P3.14,OA.POP.TOTL.P.14,FBS.PCS.PDES.KCD.14,FBS.PCS.DEC.KCD3.14,N.HER.MDER55.KCD.14,FS.IFC.CV.RN.14,FS.IFC.SK.RN.14,MDGTarget.14,WFSTarget.14,FS.OA.POUCL.PCT3.14
SOFILacReg,1985,399767251,NA,NA,1784.60339,NA,2940.453266,NA,NA,NA,NA,2670.609503,2670.609503,2670.609503,2670.609503,2670.609503,2670.609503,2670.609503,2670.609503,2670.609503,NA,NA,1048.939353,0.392255694,125.2896289,0.049333141,2.047535366,0.000778881,437.4608553,0.164601688,109.1751154,0.040886583,2.350800218,0.000882908,19.55528148,0.007561076,252.4639873,0.093860645,28.13931235,0.010537602,122.5356272,0.047283267,4.744528428,0.001819015,1.73248475,0.000622262,64.85445035,0.024254266,0.623236184,0.000254542,199.1574902,0.071589731,9.059386275,0.003299177,61.48330074,0.023512916,143.1748528,0.052635257,24.39221718,0.008982237,13.99490453,0.005278269,0,0,125.7412441,55.65430435,2.727616218,44.81799436,11.77058134,0.365086974,3.499632142,10.38394644,40.24192044,97.42050921,3.232195968,0.186564617,34.37142999,39.62467834,3.026997202,3.034749965,93.7091266,6.773598766,8.14534965,0.043317877,NA,2580.996492,NA,NA,NA,NA,2580.996492,NA,2580.996492,NA,2580.996492,NA,2580.996492,NA,2580.996492,NA,2580.996492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOFIlacReg,SOFI Regional Office for Latin America and the Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399767251,NA,NA,NA,NA,NA,NA,NA,NA
SOFILacReg,1986,407843406,NA,NA,1786.194654,NA,2945.126936,NA,NA,NA,NA,2671.867571,2671.867571,2671.867571,2671.867571,2671.867571,2671.867571,2671.867571,2671.867571,2671.867571,NA,NA,1032.430867,0.385948144,124.6674493,0.048641851,2.333775457,0.000856768,451.5615052,0.169419441,103.7641329,0.038521573,2.584144241,0.000984292,17.11965339,0.006691355,267.0726988,0.099243916,28.63877286,0.010731262,112.1999382,0.043350118,4.824845235,0.00182876,1.989221753,0.000705191,65.18276052,0.024552791,0.613129508,0.000237043,199.8714445,0.072762198,8.801091861,0.003225862,61.77756545,0.023225337,144.8097183,0.053623991,26.45179452,0.009694324,15.18171313,0.005749922,0,0,123.4336577,55.52445131,2.726082027,46.32598147,11.11602905,0.361020223,2.995346945,11.02595788,40.81511125,84.58489582,3.179945961,0.250619895,36.33236255,40.96666374,3.025969432,3.062595885,95.9813489,7.310990053,8.844104505,0.045468832,NA,2583.994377,NA,NA,NA,NA,2583.994377,NA,2583.994377,NA,2583.994377,NA,2583.994377,NA,2583.994377,NA,2583.994377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOFIlacReg,SOFI Regional Office for Latin America and the Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407843406,NA,NA,NA,NA,NA,NA,NA,NA
SOFILacReg,1987,415945518,407852058.3,NA,1788.284425,NA,2950.838985,NA,NA,NA,NA,2669.727394,2669.727394,2669.727394,2669.727394,2669.727394,2669.727394,2669.727394,2669.727394,2669.727394,2670.728979,NA,1031.42064,0.386783487,120.9920371,0.047040573,2.327924492,0.000855829,446.229023,0.167200021,100.7300316,0.037766576,2.669271987,0.001027791,16.76114371,0.006631028,267.3627143,0.099428941,28.3076706,0.010636152,118.0872866,0.045483918,5.160286067,0.001956727,2.195215252,0.000787091,66.10545877,0.024763827,0.490110149,0.000198398,200.3804207,0.072837724,8.723653801,0.003198905,64.11480452,0.02397836,146.1739302,0.054000204,26.40143519,0.009724332,15.20949685,0.005742403,0,0,123.4460908,53.97361729,2.727597988,45.76275801,10.80913976,0.371148492,3.023961187,11.04401157,40.92354102,90.42025333,3.290409648,0.264813438,37.48363151,41.18491522,2.999580777,3.186058541,95.79652562,7.404923231,8.792478061,0.040108425,NA,2581.274254,2582.09019,NA,NA,NA,2581.274254,2582.09019,2581.274254,2582.09019,2581.274254,2582.09019,2581.274254,2582.09019,2581.274254,2582.09019,2581.274254,2582.09019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOFIlacReg,SOFI Regional Office for Latin America and the Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415945518,2659.193976,NA,NA,NA,NA,NA,NA,NA
SOFILacReg,1988,424072613,415953845.7,NA,1790.701879,NA,2957.286539,NA,NA,NA,NA,2675.001877,2675.001877,2675.001877,2675.001877,2675.001877,2675.001877,2675.001877,2675.001877,2675.001877,2672.219354,NA,1035.043719,0.386369345,122.5481256,0.047880216,2.325676125,0.000853822,433.6543241,0.162369438,97.12986641,0.036537386,2.192330241,0.00085882,16.99182279,0.006670572,283.880171,0.105157536,29.45755173,0.011074774,121.43381,0.046644687,5.146299271,0.001948392,2.705394097,0.000960683,66.35436739,0.024844694,0.438011834,0.00017737,199.264591,0.072856542,9.245636367,0.003382166,62.13146107,0.023130984,143.720382,0.053011385,26.76832908,0.009808931,14.65431495,0.005476359,0,0,123.8645781,55.045,2.876569345,44.4587045,10.4158085,0.309957282,3.128041504,11.70635032,42.87247122,95.03235747,3.510214139,0.315477138,38.3919133,41.27440823,3.152039277,3.100499048,91.65376023,7.43071834,8.370833597,0.037042859,NA,2586.171301,2583.827492,NA,NA,NA,2586.171301,2583.827492,2586.171301,2583.827492,2586.171301,2583.827492,2586.171301,2583.827492,2586.171301,2583.827492,2586.171301,2583.827492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOFIlacReg,SOFI Regional Office for Latin America and the Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424072613,2663.339665,NA,NA,NA,NA,NA,NA,NA
SOFILacReg,1989,432223955,424080695.3,NA,1793.278069,NA,2964.083437,NA,NA,NA,NA,2656.370704,2656.370704,2656.370704,2656.370704,2656.370704,2656.370704,2656.370704,2656.370704,2656.370704,2666.947799,NA,1023.744408,0.38580769,119.6902752,0.046823745,2.032882146,0.000743294,437.514908,0.164200016,89.84182823,0.03399909,2.152228473,0.000850995,19.48045517,0.007560138,278.2561817,0.103674782,28.86392539,0.010909048,120.6942226,0.046861522,5.167034097,0.001955364,3.074630445,0.001083206,68.49069398,0.025888989,0.400008796,0.000161479,199.4213215,0.073368222,9.136503399,0.003386968,61.08750942,0.023011057,146.221605,0.05433136,26.22667197,0.009655008,14.48415615,0.005586409,0,0,122.0786061,53.64283708,2.64816154,44.84735146,9.663892398,0.334396941,3.275452945,11.47734567,41.89353515,96.1355893,3.317690757,0.378522956,39.12544683,41.2449448,3.149590002,3.061082894,94.20677701,7.31659297,8.612577629,0.02650135,NA,2568.147728,2578.447044,NA,NA,NA,2568.147728,2578.447044,2568.147728,2578.447044,2568.147728,2578.447044,2568.147728,2578.447044,2568.147728,2578.447044,2568.147728,2578.447044,59896888.59,NA,0.138578364,NA,NA,NA,NA,NA,NA,0.138595578,NA,0.138595578,NA,0.138595578,NA,0.138595578,NA,0.138595578,NA,0.138595578,NA,0.26390333,NA,114035758.4,NA,SOFIlacReg,SOFI Regional Office for Latin America and the Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432223955,2659.509713,NA,NA,NA,NA,NA,NA,NA
SOFILacReg,1990,440396476,432231014.7,440396476,1809.914221,1809.914221,2995.952126,NA,NA,NA,NA,2637.252285,2637.252285,2637.252285,2637.252285,2637.252285,2637.252285,2637.252285,2637.252285,2637.252285,2655.970676,2637.252285,1017.469944,0.386724561,113.7894878,0.044790931,2.027871641,0.000746062,442.8039318,0.166531843,95.79170245,0.036320045,3.107471469,0.00119457,18.60406858,0.007299936,274.4442877,0.103676692,29.29522089,0.011091043,110.6669594,0.043225152,5.153462175,0.001966764,3.032785001,0.001091356,66.93209608,0.025538632,0.422745045,0.000173649,202.2454322,0.075065376,9.285535309,0.003487766,57.87742483,0.022031719,144.2657567,0.053894692,25.7160269,0.009564475,14.83087865,0.005762646,0,0,121.8696544,51.01657439,2.715452732,45.38498305,10.23799248,0.404796853,3.205738017,11.31857069,41.86754022,85.73582822,3.149177897,0.313001907,39.21776977,42.00018975,3.178621598,2.861988499,92.92233095,7.153227796,8.823553768,0.037015708,NA,2550.458845,2550.869971,2550.458845,2550.458845,2550.458845,2550.458845,2550.869971,2550.458845,2550.869971,2550.458845,2550.869971,2550.458845,2550.869971,2550.458845,2550.869971,2550.458845,2550.869971,69199373.72,NA,0.157129717,NA,0.157151249,0.157151249,0.157151249,0.157151249,0.157151249,0.157151249,NA,0.157151249,NA,0.157151249,NA,0.157151249,NA,0.157151249,NA,0.157151249,NA,0.240397102,NA,105843169.7,NA,SOFIlacReg,SOFI Regional Office for Latin America and the Caribbean,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440396476,2646.237316,2537.637354,1809.903715,NA,NA,NA,NA,NA
SOFILacReg,1991,448582839,440401090,440396476,1804.264484,1809.914221,2989.473978,NA,NA,NA,NA,2677.055672,2677.055672,2677.055672,2677.055672,2677.055672,2677.055672,2677.055672,2677.055672,2677.055672,2657.021049,2726.818444,1020.056213,0.382398864,115.1641556,0.044606493,2.023565513,0.000728891,435.0490928,0.161766858,105.6700902,0.039412067,3.188888145,0.001193283,20.73199819,0.00791155,284.7541839,0.10556381,29.21637813,0.010857983,114.186778,0.043850151,5.761161216,0.002159135,2.88908917,0.001036716,71.01791637,0.026505446,0.423828886,0.000180504,214.0830029,0.078012865,9.410031185,0.003470917,57.69605167,0.021651728,146.2366898,0.054090977,27.38069702,0.010026888,13.64346461,0.005137032,0,0,122.0530253,51.62879345,2.82612623,44.56296538,11.32538017,0.440567421,3.740279506,11.72815913,41.95151215,90.82743906,3.141198243,0.30222289,41.78647204,44.36629159,3.184057361,2.866105196,93.82324864,7.593960591,7.799100112,0.043042566,NA,2588.8279,2589.233204,2636.95064,2550.458845,2503.914528,2588.8279,2589.233204,2588.8279,2589.233204,2588.8279,2589.233204,2588.8279,2589.233204,2588.8279,2589.233204,2588.8279,2589.233204,62984060.98,64051400.31,0.140406755,0.14538287,0.172611624,0.154145473,0.129416731,0.157151249,0.157151249,0.140420677,0.145400411,0.140420677,0.145400411,0.140420677,0.145400411,0.140420677,0.145400411,0.140420677,0.145400411,0.140420677,0.145400411,0.257413685,0.253864587,115442568,111773832,SOFIlacReg,SOFI Regional Office for Latin America and the Caribbean,-0.027734518,0.015460374,-0.003005776,0,-0.015279919,0.046200668,181.5095818,-101.1809938,19.67141192,0,60.03055587,33.46352979,6.505914346,0,14.5,14.5,14.5,64.1,64.1,64.1,25.4,111.8,NA,NA,NA,NA,NA,NA,NA,-1.3,-3,NA,NA,448582839,2645.430146,2576.026999,1804.25403,NA,NA,NA,NA,NA
SOFILacReg,1992,456773500,448584271.7,440396476,1806.82248,1809.914221,2996.216675,NA,NA,NA,NA,2690.280056,2690.280056,2690.280056,2690.280056,2690.280056,2690.280056,2690.280056,2690.280056,2690.280056,2668.518648,2790.323501,1021.421729,0.381525293,107.570723,0.041440546,2.085975851,0.000755178,448.4609739,0.166011256,103.7400738,0.038783868,2.815464246,0.001077979,20.91301835,0.007928802,284.9253181,0.105132416,29.28944122,0.010786965,118.9960589,0.045229411,5.401927415,0.002006607,3.446608914,0.001213066,68.76768254,0.025516465,0.497614174,0.000202942,216.4736718,0.078258114,9.136222093,0.00333606,55.63223317,0.020871604,151.345731,0.055391901,26.50796976,0.009685202,14.00662713,0.005244266,0,0,122.8474869,48.38716108,2.960856951,45.99072801,11.07872817,0.41005929,3.574211935,11.73112361,41.40056219,95.5204883,2.977048402,0.434834796,39.50526843,45.27128157,3.101259276,2.756740878,97.74439272,7.36606757,7.688199838,0.005364401,NA,2601.128483,2580.446705,2697.856649,2550.458845,2459.015437,2601.128483,2580.446705,2601.128483,2580.446705,2601.128483,2580.446705,2601.128483,2580.446705,2601.128483,2580.446705,2601.128483,2580.446705,66053147.49,66059195.54,0.144608099,0.147305345,0.188737497,0.15533115,0.11538773,0.157165382,0.157151249,0.144621927,0.147321708,0.144621927,0.147321708,0.144621927,0.147321708,0.144621927,0.147321708,0.144621927,0.147321708,0.144621927,0.147321708,0.251644597,0.249886903,114916313.9,112067350.5,SOFIlacReg,SOFI Regional Office for Latin America and the Caribbean,-0.04176352,0.031586248,-0.0018201,1.41E-05,-0.011983239,0.075184,348.5161277,-263.5869,15.18871159,-0.117939278,55.54841431,42.01192762,2.420860262,0.01879781,14.7,14.7,14.7,66.1,66.1,66.1,25,112.1,NA,NA,NA,NA,NA,NA,NA,0,0,0.152573267,68441967.69,456773500,2654.79524,2566.739404,1806.812281,NA,NA,NA,NA,NA
SOFILacReg,1993,464959537,456771958.7,440396476,1809.301059,1809.914221,3002.846611,NA,NA,NA,NA,2694.324823,2694.324823,2694.324823,2694.324823,2694.324823,2694.324823,2694.324823,2694.324823,2694.324823,2687.323381,2844.600469,1024.725829,0.382621847,110.5192363,0.042530061,2.081213472,0.000753951,448.8039724,0.165733159,103.2532188,0.038507118,3.514376361,0.001295721,20.23022958,0.007705874,282.9824628,0.104189935,28.52610182,0.010523791,112.907113,0.042936697,5.659459513,0.002108192,3.119084094,0.001096609,67.10690415,0.024892469,0.557254839,0.000225393,223.6237475,0.080569265,9.469013872,0.003448767,54.35147641,0.020301933,152.4124795,0.055645098,26.25576698,0.009556613,14.72631572,0.005534649,0,0,122.7991677,49.86098277,2.776330893,46.05739345,11.06367076,0.450377382,3.528755525,11.67817945,40.76962383,88.72867791,3.158306323,0.357690894,40.15298376,46.99625901,3.190865234,2.744914033,99.39337767,7.368081827,8.228977963,0.015033725,NA,2605.243942,2598.498207,2750.551113,2550.458845,2415.722226,2605.243942,2598.498207,2605.243942,2598.498207,2605.243942,2598.498207,2605.243942,2598.498207,2605.243942,2598.498207,2605.243942,2598.498207,65311103.53,64793778.14,0.140466209,0.141827381,0.205472053,0.156495234,0.104357943,0.157179459,0.157151249,0.140475598,0.141839734,0.140475598,0.141839734,0.140475598,0.141839734,0.140475598,0.141839734,0.140475598,0.141839734,0.140475598,0.141839734,0.257532502,0.255530965,119713081.2,116690654.4,SOFIlacReg,SOFI Regional Office for Latin America and the Caribbean,-0.052793307,0.048320804,-0.000656016,2.82E-05,-0.005100308,0.101798336,1035.100291,-947.4094663,12.86227245,-0.553097058,51.86067739,47.4671847,0.644426601,0.027711313,14.2,14.2,14.2,64.8,64.8,64.8,25.6,116.7,NA,NA,NA,NA,NA,NA,NA,-3.7,-1.9,0.146977605,67135248.39,464959537,2673.097309,2584.309399,1809.291141,NA,NA,NA,NA,NA
SOFILacReg,1994,473130797,464954611.3,440396476,1811.762436,1809.914221,3009.481348,NA,NA,NA,NA,2721.136356,2721.136356,2721.136356,2721.136356,2721.136356,2721.136356,2721.136356,2721.136356,2721.136356,2702.094628,2923.396265,1025.359533,0.379524866,116.0321445,0.043985089,2.076707018,0.000741456,451.3455252,0.164882313,105.9159896,0.039012827,3.209683351,0.001194932,23.51756645,0.008846709,277.3411467,0.101064444,29.24438083,0.010710039,115.0544076,0.043348598,6.004788908,0.002201716,2.839919672,0.001018588,68.29502428,0.025059346,0.614440558,0.000246607,232.8890405,0.083083211,9.675922419,0.003508482,55.31849747,0.020428645,154.7453046,0.055915975,26.73613763,0.009652896,14.71357601,0.00548902,0,0,123.0347337,52.2925684,2.854999338,46.32346988,11.35797435,0.47234613,4.031582786,11.42813793,41.24818569,90.27381858,3.180347404,0.327699737,41.14593488,49.58666488,3.29765817,2.816881611,100.0034778,7.453089132,8.411543004,0.031828726,NA,2630.753263,2612.548893,2826.295068,2550.458845,2374.001216,2630.753263,2612.548893,2630.753263,2612.548893,2630.753263,2612.548893,2630.753263,2612.548893,2630.753263,2612.548893,2630.753263,2612.548893,65467095.29,65602094.47,0.138369972,0.141111513,0.222747614,0.157668154,0.088686903,0.157213957,0.157151249,0.138374072,0.141120556,0.138374072,0.141120556,0.138374072,0.141120556,0.138374072,0.141120556,0.138374072,0.141120556,0.138374072,0.141120556,0.262262987,0.257208967,124054867.5,119561420.9,SOFIlacReg,SOFI Regional Office for Latin America and the Caribbean,-0.068464347,0.065596365,0.000516905,6.27E-05,-0.002288369,0.134640324,2991.839912,-2866.511284,-22.58833828,-2.740290126,50.84980831,48.71970211,0.383915151,0.046574426,14.1,14.1,14.1,65.6,65.6,65.6,25.7,119.6,NA,NA,NA,NA,NA,NA,NA,-4.2,-0.7,0.146152333,67954201.06,473130797,2687.420372,2597.928688,1811.752826,NA,NA,NA,NA,NA
