Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
IC,Credit to Agriculture,1,Armenia,6109,Value Local Currency,23018,Total Credit,2000,64260,,Official data
IC,Credit to Agriculture,1,Armenia,6109,Value Local Currency,23018,Total Credit,2001,58895,,Official data
IC,Credit to Agriculture,1,Armenia,6109,Value Local Currency,23018,Total Credit,2011,1197972.89,,Official data
IC,Credit to Agriculture,1,Armenia,6109,Value Local Currency,23018,Total Credit,2012,1516043.06,,Official data
IC,Credit to Agriculture,1,Armenia,6109,Value Local Currency,23068,"Credit to Agriculture, Forestry and Fishing",2000,10391,,Official data
IC,Credit to Agriculture,1,Armenia,6109,Value Local Currency,23068,"Credit to Agriculture, Forestry and Fishing",2001,9398,,Official data
IC,Credit to Agriculture,1,Armenia,6109,Value Local Currency,23068,"Credit to Agriculture, Forestry and Fishing",2011,73439.84,,Official data
IC,Credit to Agriculture,1,Armenia,6109,Value Local Currency,23068,"Credit to Agriculture, Forestry and Fishing",2012,91890.27,,Official data
IC,Credit to Agriculture,1,Armenia,6110,Value US$,23018,Total Credit,2000,119.11,Fc,Calculated data
IC,Credit to Agriculture,1,Armenia,6110,Value US$,23018,Total Credit,2001,106.1,Fc,Calculated data
IC,Credit to Agriculture,1,Armenia,6110,Value US$,23018,Total Credit,2011,3216.9,Fc,Calculated data
IC,Credit to Agriculture,1,Armenia,6110,Value US$,23018,Total Credit,2012,3775.67,Fc,Calculated data
IC,Credit to Agriculture,1,Armenia,6110,Value US$,23068,"Credit to Agriculture, Forestry and Fishing",2000,19.26,Fc,Calculated data
IC,Credit to Agriculture,1,Armenia,6110,Value US$,23068,"Credit to Agriculture, Forestry and Fishing",2001,16.93,Fc,Calculated data
IC,Credit to Agriculture,1,Armenia,6110,Value US$,23068,"Credit to Agriculture, Forestry and Fishing",2011,197.21,Fc,Calculated data
IC,Credit to Agriculture,1,Armenia,6110,Value US$,23068,"Credit to Agriculture, Forestry and Fishing",2012,228.85,Fc,Calculated data
IC,Credit to Agriculture,1,Armenia,6112,Agriculture orientation index,23068,"Credit to Agriculture, Forestry and Fishing",2000,0.7,Fc,Calculated data
IC,Credit to Agriculture,1,Armenia,6112,Agriculture orientation index,23068,"Credit to Agriculture, Forestry and Fishing",2001,0.62,Fc,Calculated data
IC,Credit to Agriculture,1,Armenia,6112,Agriculture orientation index,23068,"Credit to Agriculture, Forestry and Fishing",2011,0.3,Fc,Calculated data
IC,Credit to Agriculture,1,Armenia,6112,Agriculture orientation index,23068,"Credit to Agriculture, Forestry and Fishing",2012,0.32,Fc,Calculated data
IC,Credit to Agriculture,1,Armenia,6113,Share of Total Credit,23068,"Credit to Agriculture, Forestry and Fishing",2000,0.16,Fc,Calculated data
IC,Credit to Agriculture,1,Armenia,6113,Share of Total Credit,23068,"Credit to Agriculture, Forestry and Fishing",2001,0.16,Fc,Calculated data
IC,Credit to Agriculture,1,Armenia,6113,Share of Total Credit,23068,"Credit to Agriculture, Forestry and Fishing",2011,0.06,Fc,Calculated data
