"'Location","'Year","'Sex","'Area","'0-4","'5-9","'10-14","'15-19","'20-24","'25-29","'30-34","'35-39","'40-44","'45-49","'50-54","'55-59","'60-64","'65-69","'70-74","'75-79","'80+","'Total"
"World","1980","Female","Rural","179,988","172,791","158,999","134,418","109,572","99,532","79,456","66,378","62,189","56,887","51,113","44,213","35,633","30,612","23,005","14,860","11,663","1,331,308"
"World","1985","Female","Rural","189,317","167,623","161,694","144,980","122,592","104,241","94,563","74,951","62,874","59,565","53,710","47,700","39,865","30,543","24,542","16,585","13,947","1,409,292"
"World","1990","Female","Rural","203,121","177,678","157,303","147,300","133,564","115,235","97,767","89,284","71,504","59,763","55,861","50,130","43,536","34,927","24,881","18,102","16,441","1,496,395"
"World","1995","Female","Rural","189,875","191,534","166,747","144,347","135,314","125,348","110,085","92,665","84,440","67,108","55,914","51,417","44,701","37,295","27,807","17,676","18,208","1,560,483"
"World","2000","Female","Rural","178,068","180,372","181,072","148,600","128,099","124,554","118,803","103,958","88,528","81,176","64,198","52,963","47,842","40,110","31,249","21,157","19,624","1,610,373"
"World","2005","Female","Rural","175,226","168,704","168,681","156,736","134,198","120,029","117,042","108,546","96,981","83,913","75,616","59,296","47,779","41,893","32,736","22,969","22,140","1,632,485"
"World","2010","Female","Rural","176,614","164,831","155,064","145,027","140,464","124,517","110,920","107,286","102,939","91,744","78,529","70,998","54,211","41,960","34,317","24,394","25,522","1,649,338"
"World","2015","Female","Rural","175,462","164,404","151,101","135,264","130,628","129,461","116,822","104,610","102,361","95,463","85,136","73,543","64,194","47,180","34,093","25,651","27,283","1,662,653"
"More developed regions","1980","Female","Rural","11,980","12,497","13,077","12,232","11,319","11,262","10,569","8,810","9,678","9,573","10,458","10,229","7,454","8,682","7,221","5,180","4,730","164,952"
"More developed regions","1985","Female","Rural","11,515","11,712","12,220","11,384","10,552","11,110","11,106","10,267","8,551","9,833","9,292","10,403","9,646","6,874","7,467","5,705","5,450","163,088"
"More developed regions","1990","Female","Rural","10,842","11,376","11,557","10,786","9,651","10,439","11,139","10,882","9,982","8,491","9,603","9,303","9,957","9,005","5,950","6,021","6,448","161,432"
"More developed regions","1995","Female","Rural","9,492","10,855","11,221","10,416","9,193","9,780","10,814","11,153","10,620","9,675","8,328","9,435","8,928","9,232","7,800","4,788","7,236","158,966"
"More developed regions","2000","Female","Rural","8,294","9,566","10,887","10,241","8,758","9,213","10,081","10,836","10,939","10,457","9,549","8,239","9,180","8,412","8,133","6,351","6,825","155,961"
"More developed regions","2005","Female","Rural","7,579","8,191","9,415","9,771","8,284","8,515","9,266","9,949","10,555","10,573","10,061","9,160","7,798","8,449","7,201","6,394","7,427","148,586"
"More developed regions","2010","Female","Rural","7,444","7,538","8,073","8,341","7,975","8,177","8,580","9,209","9,645","10,412","10,331","9,896","8,623","7,301","7,392","5,799","8,232","142,969"
"More developed regions","2015","Female","Rural","7,246","7,595","7,577","7,141","6,724","7,706","8,359","8,758","9,124","9,305","9,908","9,800","9,308","8,139","6,456","6,144","8,278","137,567"
"Less developed regions","1980","Female","Rural","168,008","160,294","145,922","122,187","98,253","88,270","68,886","57,568","52,510","47,314","40,655","33,984","28,179","21,930","15,784","9,680","6,933","1,166,356"
"Less developed regions","1985","Female","Rural","177,802","155,911","149,475","133,596","112,040","93,131","83,456","64,684","54,323","49,732","44,417","37,297","30,219","23,669","17,075","10,880","8,497","1,246,205"
"Less developed regions","1990","Female","Rural","192,279","166,302","145,746","136,514","123,913","104,795","86,628","78,401","61,522","51,271","46,258","40,827","33,579","25,922","18,930","12,081","9,993","1,334,963"
"Less developed regions","1995","Female","Rural","180,383","180,680","155,526","133,931","126,121","115,568","99,271","81,512","73,820","57,433","47,587","41,982","35,773","28,063","20,007","12,888","10,972","1,401,517"
"Less developed regions","2000","Female","Rural","169,774","170,805","170,184","138,359","119,341","115,341","108,722","93,122","77,589","70,719","54,648","44,724","38,662","31,697","23,116","14,806","12,799","1,454,411"
